cue1pos,cue2lag,ltrCoords,ltrEccentricity,trialNumOriginal
18,2,"[1, 0]",10.0,114
6,2,"[1, 0]",3.0,11
14,2,"[-1, 0]",10.0,228
10,2,"[-1, 0]",3.0,172
6,2,"[-1, 0]",3.0,181
6,2,"[1, 0]",10.0,96
14,2,"[1, 0]",3.0,63
18,2,"[-1, 0]",3.0,179
10,2,"[-1, 0]",10.0,252
6,2,"[-1, 0]",3.0,196
6,2,"[-1, 0]",10.0,271
14,2,"[-1, 0]",10.0,273
6,2,"[-1, 0]",3.0,161
10,2,"[-1, 0]",10.0,262
14,2,"[-1, 0]",10.0,243
14,2,"[1, 0]",10.0,103
10,2,"[1, 0]",3.0,32
10,2,"[-1, 0]",3.0,162
18,2,"[-1, 0]",3.0,159
10,2,"[1, 0]",10.0,102
22,2,"[1, 0]",10.0,125
18,2,"[1, 0]",3.0,64
22,2,"[-1, 0]",3.0,190
10,2,"[-1, 0]",10.0,217
22,2,"[1, 0]",10.0,90
14,2,"[-1, 0]",3.0,198
10,2,"[1, 0]",3.0,67
14,2,"[1, 0]",10.0,108
14,2,"[1, 0]",10.0,93
14,2,"[-1, 0]",10.0,278
18,2,"[1, 0]",3.0,19
22,2,"[-1, 0]",3.0,145
10,2,"[-1, 0]",10.0,242
6,2,"[1, 0]",3.0,6
6,2,"[1, 0]",10.0,91
10,2,"[-1, 0]",3.0,157
22,2,"[-1, 0]",3.0,185
6,2,"[1, 0]",3.0,66
22,2,"[-1, 0]",10.0,220
22,2,"[-1, 0]",10.0,275
22,2,"[1, 0]",10.0,120
10,2,"[-1, 0]",3.0,177
14,2,"[1, 0]",3.0,33
22,2,"[-1, 0]",10.0,230
22,2,"[-1, 0]",10.0,215
6,2,"[-1, 0]",10.0,246
6,2,"[1, 0]",10.0,126
6,2,"[-1, 0]",10.0,251
6,2,"[1, 0]",10.0,136
10,2,"[-1, 0]",10.0,237
10,2,"[1, 0]",10.0,77
10,2,"[1, 0]",10.0,87
18,2,"[-1, 0]",10.0,259
6,2,"[-1, 0]",3.0,201
10,2,"[-1, 0]",3.0,192
22,2,"[-1, 0]",3.0,155
14,2,"[-1, 0]",3.0,143
18,2,"[1, 0]",3.0,54
6,2,"[-1, 0]",3.0,141
10,2,"[-1, 0]",10.0,222
14,2,"[1, 0]",3.0,43
22,2,"[1, 0]",3.0,70
10,2,"[1, 0]",10.0,127
14,2,"[1, 0]",3.0,13
6,2,"[1, 0]",10.0,106
10,2,"[-1, 0]",3.0,152
6,2,"[1, 0]",10.0,121
6,2,"[-1, 0]",10.0,231
6,2,"[-1, 0]",3.0,176
6,2,"[1, 0]",3.0,16
22,2,"[1, 0]",3.0,50
6,2,"[-1, 0]",3.0,171
10,2,"[1, 0]",3.0,7
10,2,"[-1, 0]",10.0,247
10,2,"[-1, 0]",10.0,257
22,2,"[-1, 0]",10.0,255
22,2,"[1, 0]",10.0,80
14,2,"[-1, 0]",3.0,163
6,2,"[-1, 0]",10.0,236
22,2,"[-1, 0]",3.0,150
10,2,"[-1, 0]",3.0,147
18,2,"[1, 0]",3.0,9
22,2,"[1, 0]",3.0,35
10,2,"[-1, 0]",10.0,272
14,2,"[-1, 0]",10.0,223
22,2,"[1, 0]",3.0,25
18,2,"[-1, 0]",10.0,229
22,2,"[1, 0]",10.0,95
22,2,"[-1, 0]",3.0,165
14,2,"[1, 0]",3.0,23
6,2,"[1, 0]",3.0,61
22,2,"[1, 0]",10.0,135
14,2,"[1, 0]",3.0,58
22,2,"[1, 0]",10.0,100
18,2,"[1, 0]",3.0,39
18,2,"[-1, 0]",3.0,144
10,2,"[1, 0]",3.0,27
10,2,"[1, 0]",10.0,122
18,2,"[-1, 0]",10.0,234
18,2,"[1, 0]",10.0,99
6,2,"[1, 0]",3.0,41
22,2,"[1, 0]",3.0,30
22,2,"[-1, 0]",3.0,180
6,2,"[-1, 0]",3.0,166
22,2,"[-1, 0]",10.0,225
18,2,"[1, 0]",10.0,119
14,2,"[1, 0]",10.0,88
6,2,"[-1, 0]",10.0,241
18,2,"[1, 0]",10.0,89
18,2,"[1, 0]",10.0,109
18,2,"[1, 0]",3.0,29
10,2,"[1, 0]",10.0,117
14,2,"[-1, 0]",10.0,213
10,2,"[1, 0]",3.0,42
10,2,"[1, 0]",3.0,57
10,2,"[1, 0]",3.0,2
14,2,"[1, 0]",10.0,123
18,2,"[-1, 0]",3.0,184
14,2,"[1, 0]",3.0,28
18,2,"[-1, 0]",3.0,199
6,2,"[1, 0]",10.0,131
22,2,"[-1, 0]",10.0,280
18,2,"[-1, 0]",3.0,169
22,2,"[-1, 0]",10.0,250
14,2,"[1, 0]",3.0,8
6,2,"[1, 0]",10.0,101
22,2,"[1, 0]",3.0,65
14,2,"[-1, 0]",3.0,168
22,2,"[-1, 0]",10.0,265
6,2,"[-1, 0]",10.0,226
22,2,"[-1, 0]",3.0,205
10,2,"[1, 0]",3.0,52
14,2,"[-1, 0]",3.0,178
18,2,"[1, 0]",3.0,14
14,2,"[1, 0]",3.0,18
22,2,"[1, 0]",3.0,15
18,2,"[1, 0]",3.0,49
6,2,"[1, 0]",10.0,86
10,2,"[-1, 0]",10.0,212
18,2,"[-1, 0]",10.0,244
18,2,"[-1, 0]",10.0,279
18,2,"[1, 0]",10.0,139
14,2,"[1, 0]",3.0,68
10,2,"[-1, 0]",3.0,197
18,2,"[-1, 0]",3.0,204
18,2,"[-1, 0]",3.0,174
18,2,"[-1, 0]",3.0,194
10,2,"[1, 0]",10.0,112
10,2,"[-1, 0]",3.0,142
22,2,"[-1, 0]",10.0,235
6,2,"[-1, 0]",3.0,186
14,2,"[1, 0]",10.0,118
14,2,"[1, 0]",10.0,98
6,2,"[1, 0]",3.0,31
14,2,"[1, 0]",3.0,3
10,2,"[1, 0]",3.0,12
22,2,"[1, 0]",10.0,115
14,2,"[1, 0]",10.0,78
22,2,"[-1, 0]",3.0,170
10,2,"[1, 0]",10.0,137
6,2,"[1, 0]",10.0,111
22,2,"[1, 0]",10.0,105
10,2,"[-1, 0]",3.0,207
14,2,"[1, 0]",3.0,48
18,2,"[1, 0]",10.0,74
18,2,"[1, 0]",3.0,4
6,2,"[1, 0]",3.0,56
6,2,"[1, 0]",3.0,51
6,2,"[-1, 0]",10.0,261
14,2,"[-1, 0]",3.0,148
10,2,"[1, 0]",10.0,97
18,2,"[-1, 0]",3.0,149
6,2,"[1, 0]",3.0,36
18,2,"[1, 0]",10.0,124
18,2,"[-1, 0]",10.0,264
10,2,"[-1, 0]",10.0,232
10,2,"[1, 0]",10.0,92
18,2,"[1, 0]",10.0,134
6,2,"[-1, 0]",10.0,256
6,2,"[-1, 0]",10.0,221
14,2,"[-1, 0]",3.0,158
14,2,"[1, 0]",3.0,38
14,2,"[-1, 0]",3.0,193
10,2,"[1, 0]",3.0,47
10,2,"[-1, 0]",10.0,267
14,2,"[-1, 0]",10.0,253
6,2,"[-1, 0]",3.0,156
14,2,"[-1, 0]",10.0,238
22,2,"[1, 0]",3.0,60
14,2,"[1, 0]",10.0,138
10,2,"[1, 0]",10.0,107
14,2,"[-1, 0]",10.0,263
10,2,"[1, 0]",3.0,62
18,2,"[-1, 0]",3.0,154
