cue1pos,cue2lag,ltrCoords,ltrEccentricity,trialNumOriginal
10,2,"[1, 0]",3.0,7
22,2,"[1, 0]",3.0,45
18,2,"[-1, 0]",3.0,159
6,2,"[-1, 0]",10.0,216
10,2,"[-1, 0]",10.0,237
22,2,"[-1, 0]",3.0,200
22,2,"[-1, 0]",3.0,185
10,2,"[-1, 0]",10.0,217
18,2,"[1, 0]",10.0,134
22,2,"[-1, 0]",10.0,265
14,2,"[-1, 0]",3.0,143
6,2,"[1, 0]",3.0,66
14,2,"[1, 0]",3.0,53
6,2,"[-1, 0]",10.0,241
18,2,"[-1, 0]",10.0,264
6,2,"[1, 0]",3.0,36
6,2,"[1, 0]",3.0,61
18,2,"[-1, 0]",3.0,174
10,2,"[-1, 0]",10.0,277
14,2,"[1, 0]",3.0,23
22,2,"[1, 0]",10.0,100
10,2,"[-1, 0]",10.0,232
10,2,"[1, 0]",10.0,122
10,2,"[-1, 0]",10.0,247
10,2,"[1, 0]",3.0,17
6,2,"[-1, 0]",10.0,211
10,2,"[-1, 0]",3.0,167
10,2,"[1, 0]",3.0,67
6,2,"[1, 0]",3.0,51
14,2,"[-1, 0]",10.0,233
22,2,"[1, 0]",10.0,115
18,2,"[-1, 0]",10.0,244
22,2,"[1, 0]",3.0,65
10,2,"[1, 0]",10.0,117
18,2,"[-1, 0]",3.0,199
6,2,"[-1, 0]",3.0,201
22,2,"[1, 0]",10.0,105
22,2,"[1, 0]",10.0,130
14,2,"[-1, 0]",10.0,223
10,2,"[1, 0]",10.0,77
6,2,"[-1, 0]",3.0,196
6,2,"[1, 0]",10.0,96
6,2,"[-1, 0]",10.0,266
22,2,"[1, 0]",3.0,25
10,2,"[1, 0]",3.0,12
10,2,"[-1, 0]",3.0,182
14,2,"[-1, 0]",3.0,198
18,2,"[-1, 0]",3.0,144
14,2,"[-1, 0]",10.0,228
14,2,"[-1, 0]",10.0,243
18,2,"[1, 0]",3.0,24
14,2,"[-1, 0]",3.0,183
22,2,"[-1, 0]",10.0,235
10,2,"[1, 0]",10.0,112
18,2,"[-1, 0]",10.0,214
14,2,"[1, 0]",3.0,13
6,2,"[-1, 0]",3.0,161
22,2,"[1, 0]",3.0,30
6,2,"[1, 0]",10.0,71
22,2,"[-1, 0]",3.0,210
18,2,"[1, 0]",3.0,69
10,2,"[-1, 0]",10.0,262
18,2,"[1, 0]",3.0,49
10,2,"[1, 0]",10.0,107
18,2,"[1, 0]",3.0,34
10,2,"[-1, 0]",3.0,207
22,2,"[-1, 0]",10.0,260
14,2,"[1, 0]",10.0,113
10,2,"[-1, 0]",3.0,147
14,2,"[1, 0]",10.0,108
10,2,"[-1, 0]",10.0,267
14,2,"[-1, 0]",10.0,273
14,2,"[-1, 0]",3.0,203
18,2,"[-1, 0]",10.0,274
14,2,"[-1, 0]",10.0,258
14,2,"[1, 0]",3.0,43
14,2,"[-1, 0]",3.0,178
14,2,"[-1, 0]",3.0,188
10,2,"[1, 0]",10.0,102
6,2,"[1, 0]",10.0,76
10,2,"[-1, 0]",3.0,152
18,2,"[-1, 0]",10.0,229
18,2,"[1, 0]",10.0,84
18,2,"[-1, 0]",3.0,154
18,2,"[1, 0]",3.0,44
6,2,"[1, 0]",10.0,116
6,2,"[-1, 0]",3.0,186
10,2,"[-1, 0]",10.0,252
10,2,"[-1, 0]",3.0,172
10,2,"[1, 0]",3.0,37
14,2,"[-1, 0]",10.0,278
6,2,"[-1, 0]",3.0,176
10,2,"[-1, 0]",3.0,192
22,2,"[1, 0]",10.0,80
22,2,"[-1, 0]",10.0,240
18,2,"[1, 0]",10.0,89
10,2,"[1, 0]",10.0,132
6,2,"[1, 0]",3.0,41
14,2,"[-1, 0]",10.0,248
22,2,"[-1, 0]",3.0,155
10,2,"[-1, 0]",10.0,212
18,2,"[-1, 0]",3.0,204
18,2,"[-1, 0]",10.0,279
10,2,"[1, 0]",3.0,52
22,2,"[-1, 0]",10.0,275
18,2,"[-1, 0]",10.0,224
14,2,"[-1, 0]",3.0,163
18,2,"[-1, 0]",3.0,194
10,2,"[-1, 0]",3.0,142
22,2,"[1, 0]",3.0,35
6,2,"[1, 0]",10.0,101
18,2,"[-1, 0]",10.0,269
18,2,"[1, 0]",3.0,59
14,2,"[-1, 0]",10.0,268
6,2,"[1, 0]",10.0,86
14,2,"[1, 0]",10.0,133
6,2,"[1, 0]",10.0,121
14,2,"[-1, 0]",3.0,168
14,2,"[1, 0]",10.0,88
18,2,"[1, 0]",10.0,79
18,2,"[1, 0]",10.0,139
18,2,"[1, 0]",3.0,14
14,2,"[-1, 0]",10.0,213
18,2,"[-1, 0]",3.0,179
18,2,"[1, 0]",10.0,119
18,2,"[-1, 0]",3.0,184
10,2,"[1, 0]",3.0,42
22,2,"[1, 0]",10.0,120
22,2,"[-1, 0]",3.0,190
18,2,"[-1, 0]",10.0,254
14,2,"[-1, 0]",10.0,218
6,2,"[-1, 0]",10.0,231
10,2,"[1, 0]",3.0,47
22,2,"[-1, 0]",10.0,230
14,2,"[1, 0]",10.0,83
6,2,"[-1, 0]",3.0,151
10,2,"[-1, 0]",10.0,257
18,2,"[1, 0]",3.0,54
22,2,"[-1, 0]",3.0,205
6,2,"[-1, 0]",10.0,271
14,2,"[1, 0]",3.0,18
10,2,"[1, 0]",3.0,32
6,2,"[1, 0]",3.0,1
22,2,"[1, 0]",10.0,140
22,2,"[-1, 0]",10.0,215
18,2,"[1, 0]",3.0,39
6,2,"[1, 0]",10.0,126
18,2,"[1, 0]",3.0,29
6,2,"[1, 0]",10.0,136
10,2,"[1, 0]",10.0,72
22,2,"[1, 0]",3.0,40
22,2,"[1, 0]",10.0,85
22,2,"[1, 0]",10.0,125
10,2,"[1, 0]",10.0,87
6,2,"[-1, 0]",10.0,256
18,2,"[-1, 0]",3.0,149
14,2,"[1, 0]",10.0,123
22,2,"[1, 0]",3.0,70
18,2,"[1, 0]",10.0,114
14,2,"[1, 0]",3.0,3
10,2,"[1, 0]",10.0,82
10,2,"[-1, 0]",3.0,162
6,2,"[-1, 0]",10.0,276
22,2,"[-1, 0]",3.0,145
14,2,"[1, 0]",3.0,28
22,2,"[1, 0]",3.0,55
6,2,"[-1, 0]",3.0,156
14,2,"[1, 0]",3.0,8
14,2,"[1, 0]",3.0,68
6,2,"[1, 0]",3.0,31
10,2,"[-1, 0]",10.0,272
6,2,"[-1, 0]",3.0,181
22,2,"[1, 0]",3.0,60
10,2,"[1, 0]",10.0,137
10,2,"[1, 0]",3.0,22
14,2,"[-1, 0]",3.0,148
14,2,"[-1, 0]",3.0,173
14,2,"[1, 0]",3.0,58
22,2,"[1, 0]",10.0,90
14,2,"[1, 0]",10.0,98
18,2,"[1, 0]",3.0,64
18,2,"[1, 0]",10.0,109
6,2,"[-1, 0]",3.0,146
18,2,"[-1, 0]",10.0,219
6,2,"[-1, 0]",3.0,141
14,2,"[-1, 0]",10.0,238
22,2,"[1, 0]",10.0,75
6,2,"[-1, 0]",3.0,206
22,2,"[-1, 0]",3.0,150
6,2,"[1, 0]",3.0,21
10,2,"[1, 0]",10.0,92
6,2,"[-1, 0]",10.0,226
22,2,"[-1, 0]",10.0,245
22,2,"[1, 0]",3.0,20
22,2,"[-1, 0]",10.0,220
10,2,"[-1, 0]",3.0,202
14,2,"[1, 0]",10.0,118
6,2,"[-1, 0]",3.0,171
22,2,"[-1, 0]",10.0,255
18,2,"[1, 0]",3.0,9
6,2,"[1, 0]",3.0,6
14,2,"[1, 0]",10.0,103
22,2,"[-1, 0]",3.0,180
22,2,"[1, 0]",3.0,5
18,2,"[-1, 0]",10.0,249
10,2,"[-1, 0]",3.0,197
10,2,"[1, 0]",3.0,27
10,2,"[1, 0]",3.0,62
6,2,"[1, 0]",10.0,81
22,2,"[-1, 0]",10.0,250
