trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
268,"[-1, 0]",10,2,10
212,"[-1, 0]",14,2,10
66,"[1, 0]",10,2,10
116,"[-1, 0]",18,2,10
54,"[1, 0]",18,2,10
183,"[-1, 0]",6,2,2
38,"[1, 0]",22,2,10
91,"[-1, 0]",14,2,2
37,"[1, 0]",22,2,2
124,"[-1, 0]",6,2,10
58,"[1, 0]",22,2,10
248,"[-1, 0]",10,2,10
181,"[1, 0]",6,2,2
55,"[-1, 0]",18,2,2
273,"[1, 0]",18,2,2
92,"[-1, 0]",14,2,10
153,"[1, 0]",18,2,2
81,"[1, 0]",6,2,2
17,"[1, 0]",22,2,2
265,"[1, 0]",10,2,2
141,"[1, 0]",6,2,2
228,"[-1, 0]",10,2,10
52,"[-1, 0]",14,2,10
179,"[-1, 0]",22,2,2
221,"[1, 0]",6,2,2
193,"[1, 0]",18,2,2
174,"[1, 0]",18,2,10
83,"[-1, 0]",6,2,2
9,"[1, 0]",14,2,2
151,"[-1, 0]",14,2,2
49,"[1, 0]",14,2,2
185,"[1, 0]",10,2,2
95,"[-1, 0]",18,2,2
231,"[-1, 0]",14,2,2
157,"[1, 0]",22,2,2
159,"[-1, 0]",22,2,2
102,"[1, 0]",6,2,10
86,"[1, 0]",10,2,10
1,"[1, 0]",6,2,2
48,"[-1, 0]",10,2,10
222,"[1, 0]",6,2,10
27,"[-1, 0]",10,2,2
255,"[-1, 0]",18,2,2
135,"[-1, 0]",18,2,2
134,"[1, 0]",18,2,10
274,"[1, 0]",18,2,10
41,"[1, 0]",6,2,2
237,"[1, 0]",22,2,2
8,"[-1, 0]",10,2,10
18,"[1, 0]",22,2,10
68,"[-1, 0]",10,2,10
105,"[1, 0]",10,2,2
131,"[-1, 0]",14,2,2
217,"[1, 0]",22,2,2
214,"[1, 0]",18,2,10
216,"[-1, 0]",18,2,10
230,"[1, 0]",14,2,10
239,"[-1, 0]",22,2,2
208,"[-1, 0]",10,2,10
226,"[1, 0]",10,2,10
278,"[1, 0]",22,2,10
14,"[1, 0]",18,2,10
6,"[1, 0]",10,2,10
177,"[1, 0]",22,2,2
236,"[-1, 0]",18,2,10
128,"[-1, 0]",10,2,10
207,"[-1, 0]",10,2,2
232,"[-1, 0]",14,2,10
211,"[-1, 0]",14,2,2
43,"[-1, 0]",6,2,2
132,"[-1, 0]",14,2,10
39,"[-1, 0]",22,2,2
80,"[-1, 0]",22,2,10
175,"[-1, 0]",18,2,2
44,"[-1, 0]",6,2,10
262,"[1, 0]",6,2,10
144,"[-1, 0]",6,2,10
219,"[-1, 0]",22,2,2
170,"[1, 0]",14,2,10
23,"[-1, 0]",6,2,2
152,"[-1, 0]",14,2,10
188,"[-1, 0]",10,2,10
40,"[-1, 0]",22,2,10
148,"[-1, 0]",10,2,10
126,"[1, 0]",10,2,10
240,"[-1, 0]",22,2,10
235,"[-1, 0]",18,2,2
246,"[1, 0]",10,2,10
147,"[-1, 0]",10,2,2
277,"[1, 0]",22,2,2
191,"[-1, 0]",14,2,2
279,"[-1, 0]",22,2,2
119,"[-1, 0]",22,2,2
192,"[-1, 0]",14,2,10
187,"[-1, 0]",10,2,2
4,"[-1, 0]",6,2,10
218,"[1, 0]",22,2,10
155,"[-1, 0]",18,2,2
99,"[-1, 0]",22,2,2
84,"[-1, 0]",6,2,10
182,"[1, 0]",6,2,10
173,"[1, 0]",18,2,2
201,"[1, 0]",6,2,2
114,"[1, 0]",18,2,10
266,"[1, 0]",10,2,10
164,"[-1, 0]",6,2,10
7,"[-1, 0]",10,2,2
42,"[1, 0]",6,2,10
158,"[1, 0]",22,2,10
53,"[1, 0]",18,2,2
203,"[-1, 0]",6,2,2
256,"[-1, 0]",18,2,10
71,"[-1, 0]",14,2,2
229,"[1, 0]",14,2,2
64,"[-1, 0]",6,2,10
258,"[1, 0]",22,2,10
205,"[1, 0]",10,2,2
112,"[-1, 0]",14,2,10
172,"[-1, 0]",14,2,10
50,"[1, 0]",14,2,10
74,"[1, 0]",18,2,10
238,"[1, 0]",22,2,10
33,"[1, 0]",18,2,2
36,"[-1, 0]",18,2,10
161,"[1, 0]",6,2,2
171,"[-1, 0]",14,2,2
275,"[-1, 0]",18,2,2
108,"[-1, 0]",10,2,10
109,"[1, 0]",14,2,2
264,"[-1, 0]",6,2,10
106,"[1, 0]",10,2,10
56,"[-1, 0]",18,2,10
78,"[1, 0]",22,2,10
160,"[-1, 0]",22,2,10
82,"[1, 0]",6,2,10
244,"[-1, 0]",6,2,10
57,"[1, 0]",22,2,2
194,"[1, 0]",18,2,10
136,"[-1, 0]",18,2,10
260,"[-1, 0]",22,2,10
269,"[1, 0]",14,2,2
76,"[-1, 0]",18,2,10
97,"[1, 0]",22,2,2
51,"[-1, 0]",14,2,2
89,"[1, 0]",14,2,2
272,"[-1, 0]",14,2,10
118,"[1, 0]",22,2,10
253,"[1, 0]",18,2,2
67,"[-1, 0]",10,2,2
19,"[-1, 0]",22,2,2
138,"[1, 0]",22,2,10
65,"[1, 0]",10,2,2
117,"[1, 0]",22,2,2
139,"[-1, 0]",22,2,2
15,"[-1, 0]",18,2,2
123,"[-1, 0]",6,2,2
70,"[1, 0]",14,2,10
154,"[1, 0]",18,2,10
213,"[1, 0]",18,2,2
251,"[-1, 0]",14,2,2
209,"[1, 0]",14,2,2
24,"[-1, 0]",6,2,10
130,"[1, 0]",14,2,10
223,"[-1, 0]",6,2,2
280,"[-1, 0]",22,2,10
88,"[-1, 0]",10,2,10
257,"[1, 0]",22,2,2
75,"[-1, 0]",18,2,2
98,"[1, 0]",22,2,10
178,"[1, 0]",22,2,10
204,"[-1, 0]",6,2,10
142,"[1, 0]",6,2,10
210,"[1, 0]",14,2,10
243,"[-1, 0]",6,2,2
225,"[1, 0]",10,2,2
200,"[-1, 0]",22,2,10
61,"[1, 0]",6,2,2
146,"[1, 0]",10,2,10
93,"[1, 0]",18,2,2
94,"[1, 0]",18,2,10
220,"[-1, 0]",22,2,10
195,"[-1, 0]",18,2,2
133,"[1, 0]",18,2,2
16,"[-1, 0]",18,2,10
227,"[-1, 0]",10,2,2
127,"[-1, 0]",10,2,2
47,"[-1, 0]",10,2,2
62,"[1, 0]",6,2,10
137,"[1, 0]",22,2,2
163,"[-1, 0]",6,2,2
96,"[-1, 0]",18,2,10
165,"[1, 0]",10,2,2
247,"[-1, 0]",10,2,2
169,"[1, 0]",14,2,2
180,"[-1, 0]",22,2,10
162,"[1, 0]",6,2,10
