trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
143,"[-1, 0]",6,2,2
271,"[-1, 0]",14,2,2
207,"[-1, 0]",10,2,2
12,"[-1, 0]",14,2,10
161,"[1, 0]",6,2,2
16,"[-1, 0]",18,2,10
181,"[1, 0]",6,2,2
33,"[1, 0]",18,2,2
162,"[1, 0]",6,2,10
138,"[1, 0]",22,2,10
158,"[1, 0]",22,2,10
263,"[-1, 0]",6,2,2
209,"[1, 0]",14,2,2
195,"[-1, 0]",18,2,2
107,"[-1, 0]",10,2,2
210,"[1, 0]",14,2,10
122,"[1, 0]",6,2,10
17,"[1, 0]",22,2,2
133,"[1, 0]",18,2,2
73,"[1, 0]",18,2,2
114,"[1, 0]",18,2,10
18,"[1, 0]",22,2,10
34,"[1, 0]",18,2,10
128,"[-1, 0]",10,2,10
67,"[-1, 0]",10,2,2
53,"[1, 0]",18,2,2
71,"[-1, 0]",14,2,2
228,"[-1, 0]",10,2,10
95,"[-1, 0]",18,2,2
216,"[-1, 0]",18,2,10
74,"[1, 0]",18,2,10
268,"[-1, 0]",10,2,10
193,"[1, 0]",18,2,2
57,"[1, 0]",22,2,2
154,"[1, 0]",18,2,10
141,"[1, 0]",6,2,2
85,"[1, 0]",10,2,2
139,"[-1, 0]",22,2,2
25,"[1, 0]",10,2,2
23,"[-1, 0]",6,2,2
35,"[-1, 0]",18,2,2
46,"[1, 0]",10,2,10
230,"[1, 0]",14,2,10
232,"[-1, 0]",14,2,10
66,"[1, 0]",10,2,10
100,"[-1, 0]",22,2,10
101,"[1, 0]",6,2,2
202,"[1, 0]",6,2,10
11,"[-1, 0]",14,2,2
72,"[-1, 0]",14,2,10
113,"[1, 0]",18,2,2
180,"[-1, 0]",22,2,10
144,"[-1, 0]",6,2,10
244,"[-1, 0]",6,2,10
38,"[1, 0]",22,2,10
179,"[-1, 0]",22,2,2
190,"[1, 0]",14,2,10
28,"[-1, 0]",10,2,10
250,"[1, 0]",14,2,10
30,"[1, 0]",14,2,10
56,"[-1, 0]",18,2,10
97,"[1, 0]",22,2,2
203,"[-1, 0]",6,2,2
29,"[1, 0]",14,2,2
96,"[-1, 0]",18,2,10
226,"[1, 0]",10,2,10
10,"[1, 0]",14,2,10
253,"[1, 0]",18,2,2
142,"[1, 0]",6,2,10
92,"[-1, 0]",14,2,10
41,"[1, 0]",6,2,2
1,"[1, 0]",6,2,2
215,"[-1, 0]",18,2,2
130,"[1, 0]",14,2,10
157,"[1, 0]",22,2,2
135,"[-1, 0]",18,2,2
149,"[1, 0]",14,2,2
112,"[-1, 0]",14,2,10
21,"[1, 0]",6,2,2
150,"[1, 0]",14,2,10
240,"[-1, 0]",22,2,10
63,"[-1, 0]",6,2,2
188,"[-1, 0]",10,2,10
171,"[-1, 0]",14,2,2
255,"[-1, 0]",18,2,2
243,"[-1, 0]",6,2,2
219,"[-1, 0]",22,2,2
173,"[1, 0]",18,2,2
52,"[-1, 0]",14,2,10
176,"[-1, 0]",18,2,10
82,"[1, 0]",6,2,10
276,"[-1, 0]",18,2,10
185,"[1, 0]",10,2,2
119,"[-1, 0]",22,2,2
199,"[-1, 0]",22,2,2
235,"[-1, 0]",18,2,2
124,"[-1, 0]",6,2,10
274,"[1, 0]",18,2,10
152,"[-1, 0]",14,2,10
249,"[1, 0]",14,2,2
45,"[1, 0]",10,2,2
83,"[-1, 0]",6,2,2
251,"[-1, 0]",14,2,2
136,"[-1, 0]",18,2,10
80,"[-1, 0]",22,2,10
27,"[-1, 0]",10,2,2
75,"[-1, 0]",18,2,2
194,"[1, 0]",18,2,10
39,"[-1, 0]",22,2,2
224,"[-1, 0]",6,2,10
212,"[-1, 0]",14,2,10
166,"[1, 0]",10,2,10
81,"[1, 0]",6,2,2
111,"[-1, 0]",14,2,2
262,"[1, 0]",6,2,10
273,"[1, 0]",18,2,2
118,"[1, 0]",22,2,10
218,"[1, 0]",22,2,10
54,"[1, 0]",18,2,10
77,"[1, 0]",22,2,2
110,"[1, 0]",14,2,10
62,"[1, 0]",6,2,10
234,"[1, 0]",18,2,10
178,"[1, 0]",22,2,10
89,"[1, 0]",14,2,2
241,"[1, 0]",6,2,2
93,"[1, 0]",18,2,2
266,"[1, 0]",10,2,10
239,"[-1, 0]",22,2,2
169,"[1, 0]",14,2,2
15,"[-1, 0]",18,2,2
32,"[-1, 0]",14,2,10
217,"[1, 0]",22,2,2
70,"[1, 0]",14,2,10
172,"[-1, 0]",14,2,10
184,"[-1, 0]",6,2,10
