trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
239,"[-1, 0]",22,2,2
199,"[-1, 0]",22,2,2
241,"[1, 0]",6,2,2
188,"[-1, 0]",10,2,10
167,"[-1, 0]",10,2,2
174,"[1, 0]",18,2,10
114,"[1, 0]",18,2,10
196,"[-1, 0]",18,2,10
3,"[-1, 0]",6,2,2
24,"[-1, 0]",6,2,10
45,"[1, 0]",10,2,2
98,"[1, 0]",22,2,10
75,"[-1, 0]",18,2,2
178,"[1, 0]",22,2,10
271,"[-1, 0]",14,2,2
86,"[1, 0]",10,2,10
140,"[-1, 0]",22,2,10
87,"[-1, 0]",10,2,2
240,"[-1, 0]",22,2,10
257,"[1, 0]",22,2,2
135,"[-1, 0]",18,2,2
15,"[-1, 0]",18,2,2
113,"[1, 0]",18,2,2
155,"[-1, 0]",18,2,2
146,"[1, 0]",10,2,10
150,"[1, 0]",14,2,10
205,"[1, 0]",10,2,2
176,"[-1, 0]",18,2,10
214,"[1, 0]",18,2,10
105,"[1, 0]",10,2,2
204,"[-1, 0]",6,2,10
269,"[1, 0]",14,2,2
215,"[-1, 0]",18,2,2
206,"[1, 0]",10,2,10
163,"[-1, 0]",6,2,2
272,"[-1, 0]",14,2,10
278,"[1, 0]",22,2,10
26,"[1, 0]",10,2,10
258,"[1, 0]",22,2,10
103,"[-1, 0]",6,2,2
128,"[-1, 0]",10,2,10
230,"[1, 0]",14,2,10
46,"[1, 0]",10,2,10
228,"[-1, 0]",10,2,10
67,"[-1, 0]",10,2,2
96,"[-1, 0]",18,2,10
152,"[-1, 0]",14,2,10
223,"[-1, 0]",6,2,2
29,"[1, 0]",14,2,2
50,"[1, 0]",14,2,10
104,"[-1, 0]",6,2,10
81,"[1, 0]",6,2,2
151,"[-1, 0]",14,2,2
183,"[-1, 0]",6,2,2
198,"[1, 0]",22,2,10
38,"[1, 0]",22,2,10
137,"[1, 0]",22,2,2
182,"[1, 0]",6,2,10
175,"[-1, 0]",18,2,2
30,"[1, 0]",14,2,10
56,"[-1, 0]",18,2,10
275,"[-1, 0]",18,2,2
77,"[1, 0]",22,2,2
101,"[1, 0]",6,2,2
266,"[1, 0]",10,2,10
79,"[-1, 0]",22,2,2
106,"[1, 0]",10,2,10
2,"[1, 0]",6,2,10
18,"[1, 0]",22,2,10
229,"[1, 0]",14,2,2
243,"[-1, 0]",6,2,2
127,"[-1, 0]",10,2,2
21,"[1, 0]",6,2,2
5,"[1, 0]",10,2,2
273,"[1, 0]",18,2,2
247,"[-1, 0]",10,2,2
242,"[1, 0]",6,2,10
92,"[-1, 0]",14,2,10
211,"[-1, 0]",14,2,2
256,"[-1, 0]",18,2,10
279,"[-1, 0]",22,2,2
138,"[1, 0]",22,2,10
190,"[1, 0]",14,2,10
254,"[1, 0]",18,2,10
225,"[1, 0]",10,2,2
160,"[-1, 0]",22,2,10
262,"[1, 0]",6,2,10
52,"[-1, 0]",14,2,10
142,"[1, 0]",6,2,10
169,"[1, 0]",14,2,2
99,"[-1, 0]",22,2,2
16,"[-1, 0]",18,2,10
165,"[1, 0]",10,2,2
43,"[-1, 0]",6,2,2
40,"[-1, 0]",22,2,10
66,"[1, 0]",10,2,10
158,"[1, 0]",22,2,10
213,"[1, 0]",18,2,2
85,"[1, 0]",10,2,2
201,"[1, 0]",6,2,2
226,"[1, 0]",10,2,10
82,"[1, 0]",6,2,10
89,"[1, 0]",14,2,2
80,"[-1, 0]",22,2,10
108,"[-1, 0]",10,2,10
202,"[1, 0]",6,2,10
60,"[-1, 0]",22,2,10
122,"[1, 0]",6,2,10
12,"[-1, 0]",14,2,10
162,"[1, 0]",6,2,10
157,"[1, 0]",22,2,2
58,"[1, 0]",22,2,10
184,"[-1, 0]",6,2,10
236,"[-1, 0]",18,2,10
42,"[1, 0]",6,2,10
195,"[-1, 0]",18,2,2
95,"[-1, 0]",18,2,2
6,"[1, 0]",10,2,10
55,"[-1, 0]",18,2,2
91,"[-1, 0]",14,2,2
264,"[-1, 0]",6,2,10
100,"[-1, 0]",22,2,10
72,"[-1, 0]",14,2,10
44,"[-1, 0]",6,2,10
41,"[1, 0]",6,2,2
65,"[1, 0]",10,2,2
1,"[1, 0]",6,2,2
212,"[-1, 0]",14,2,10
189,"[1, 0]",14,2,2
17,"[1, 0]",22,2,2
111,"[-1, 0]",14,2,2
47,"[-1, 0]",10,2,2
112,"[-1, 0]",14,2,10
63,"[-1, 0]",6,2,2
194,"[1, 0]",18,2,10
153,"[1, 0]",18,2,2
156,"[-1, 0]",18,2,10
139,"[-1, 0]",22,2,2
141,"[1, 0]",6,2,2
109,"[1, 0]",14,2,2
57,"[1, 0]",22,2,2
238,"[1, 0]",22,2,10
118,"[1, 0]",22,2,10
255,"[-1, 0]",18,2,2
173,"[1, 0]",18,2,2
62,"[1, 0]",6,2,10
216,"[-1, 0]",18,2,10
159,"[-1, 0]",22,2,2
218,"[1, 0]",22,2,10
249,"[1, 0]",14,2,2
71,"[-1, 0]",14,2,2
221,"[1, 0]",6,2,2
37,"[1, 0]",22,2,2
69,"[1, 0]",14,2,2
33,"[1, 0]",18,2,2
145,"[1, 0]",10,2,2
14,"[1, 0]",18,2,10
245,"[1, 0]",10,2,2
248,"[-1, 0]",10,2,10
74,"[1, 0]",18,2,10
187,"[-1, 0]",10,2,2
35,"[-1, 0]",18,2,2
134,"[1, 0]",18,2,10
222,"[1, 0]",6,2,10
22,"[1, 0]",6,2,10
220,"[-1, 0]",22,2,10
133,"[1, 0]",18,2,2
129,"[1, 0]",14,2,2
54,"[1, 0]",18,2,10
36,"[-1, 0]",18,2,10
93,"[1, 0]",18,2,2
132,"[-1, 0]",14,2,10
268,"[-1, 0]",10,2,10
48,"[-1, 0]",10,2,10
161,"[1, 0]",6,2,2
88,"[-1, 0]",10,2,10
